172.29.1.1	GW
172.29.1.2	net (резерв)
172.29.1.3	SRV-SQL-15
172.29.1.4	net (резерв)
172.29.1.5	net (резерв)
172.29.1.6	SRV-EXWITNESS
172.29.1.7	OnCommand Performance Manager
172.29.1.8	netapp-vasa
172.29.1.9	srv-zabbix2-sql
172.29.1.10	srv-zabbix-01
172.29.1.11	srv-sql-16
172.29.1.12	UPS на 4ом этаже
172.29.1.13	
172.29.1.14	
172.29.1.15	SRV-RDP-MO
172.29.1.16	srv-bnk-nethasp
172.29.1.17	SRV-DUDE
172.29.1.18	SRV-SCCM-SUH
172.29.1.19	
172.29.1.20	
172.29.1.21	Arm-kbr-xp
172.29.1.22	STV-ARMKBR
172.29.1.23	srv-sql-19
172.29.1.24	SRV-BNK-CRYPT
172.29.1.25	
172.29.1.26	naa8-test
172.29.1.27	Не пингует, АРП есть 0020.be7f.ae8b
172.29.1.28	srv-parsec-01
172.29.1.29	srv-cloud-01
172.29.1.30	VPNTEST
172.29.1.31	
172.29.1.32	srv-cloud-01
172.29.1.33	
172.29.1.34	srv-cloud-01
172.29.1.35	SRV-SCOM-01
172.29.1.36	srv-cloud-01
172.29.1.37	srv-cloud-01
172.29.1.38	srv-cloud-01
172.29.1.39	srv-zabbix-02
172.29.1.40	
172.29.1.41	srv-test-lizunov
172.29.1.42	srv-test-lizunov
172.29.1.43	
172.29.1.44	
172.29.1.45	srv-cloud-01
172.29.1.46	srv-sql-39
172.29.1.47	
172.29.1.48	
172.29.1.49	
172.29.1.50	srv-vhdev-01
172.29.1.51	SRV-VHDEV-01
172.29.1.52	SRV-VHDEV-02
172.29.1.53	
172.29.1.54	node-00 (maas)
172.29.1.55	srv-telecom-00
172.29.1.56	
172.29.1.57	
172.29.1.58	srv-zabbix-test
172.29.1.59	srv-vro
172.29.1.60	srv-vrlog
172.29.1.61	
172.29.1.62	
172.29.1.63	
172.29.1.64	
172.29.1.65	
172.29.1.66	
172.29.1.67	
172.29.1.68	
172.29.1.69	
172.29.1.70	
172.29.1.71	
172.29.1.72	
172.29.1.73	
172.29.1.74	
172.29.1.75	
172.29.1.76	
172.29.1.77	
172.29.1.78	
172.29.1.79	
172.29.1.80	
172.29.1.81	
172.29.1.82	
172.29.1.83	
172.29.1.84	
172.29.1.85	
172.29.1.86	
172.29.1.87	
172.29.1.88	
172.29.1.89	
172.29.1.90	
172.29.1.91	
172.29.1.92	
172.29.1.93	
172.29.1.94	
172.29.1.95	
172.29.1.96	
172.29.1.97	
172.29.1.98	
172.29.1.99	
172.29.1.100	
172.29.1.101	
172.29.1.102	
172.29.1.103	
172.29.1.104	
172.29.1.105	
172.29.1.106	
172.29.1.107	
172.29.1.108	
172.29.1.109	
172.29.1.110	
172.29.1.111	srv-suh-02
172.29.1.112	srv-suh-02
172.29.1.113	
172.29.1.114	host
172.29.1.115	sysbench
172.29.1.116	bench-win
172.29.1.117	
172.29.1.118	
172.29.1.119	
172.29.1.120	
172.29.1.121	
172.29.1.122	
172.29.1.123	
172.29.1.124	
172.29.1.125	
172.29.1.126	
172.29.1.127	
172.29.1.128	
172.29.1.129	it-aua-test
172.29.1.130	
172.29.1.131	
172.29.1.132	
172.29.1.133	
172.29.1.134	
172.29.1.135	
172.29.1.136	
172.29.1.137	
172.29.1.138	
172.29.1.139	
172.29.1.140	
172.29.1.141	
172.29.1.142	
172.29.1.143	
172.29.1.144	
172.29.1.145	
172.29.1.146	
172.29.1.147	
172.29.1.148	
172.29.1.149	
172.29.1.150	
172.29.1.151	
172.29.1.152	
172.29.1.153	
172.29.1.154	
172.29.1.155	
172.29.1.156	
172.29.1.157	
172.29.1.158	
172.29.1.159	
172.29.1.160	
172.29.1.161	
172.29.1.162	
172.29.1.163	
172.29.1.164	
172.29.1.165	
172.29.1.166	
172.29.1.167	
172.29.1.168	
172.29.1.169	
172.29.1.170	
172.29.1.171	
172.29.1.172	
172.29.1.173	
172.29.1.174	
172.29.1.175	
172.29.1.176	
172.29.1.177	
172.29.1.178	
172.29.1.179	
172.29.1.180	
172.29.1.181	
172.29.1.182	
172.29.1.183	
172.29.1.184	
172.29.1.185	
172.29.1.186	
172.29.1.187	
172.29.1.188	
172.29.1.189	
172.29.1.190	
172.29.1.191	
172.29.1.192	
172.29.1.193	
172.29.1.194	
172.29.1.195	
172.29.1.196	
172.29.1.197	
172.29.1.198	
172.29.1.199	
172.29.1.200	
172.29.1.201	
172.29.1.202	
172.29.1.203	
172.29.1.204	
172.29.1.205	
172.29.1.206	
172.29.1.207	
172.29.1.208	
172.29.1.209	
172.29.1.210	
172.29.1.211	
172.29.1.212	
172.29.1.213	
172.29.1.214	
172.29.1.215	
172.29.1.216	
172.29.1.217	
172.29.1.218	
172.29.1.219	
172.29.1.220	
172.29.1.221	
172.29.1.222	
172.29.1.223	
172.29.1.224	
172.29.1.225	
172.29.1.226	
172.29.1.227	
172.29.1.228	
172.29.1.229	
172.29.1.230	
172.29.1.231	
172.29.1.232	
172.29.1.233	
172.29.1.234	
172.29.1.235	
172.29.1.236	
172.29.1.237	
172.29.1.238	
172.29.1.239	
172.29.1.240	srv-telecom-01
172.29.1.241	
172.29.1.242	
172.29.1.243	
172.29.1.244	
172.29.1.245	srv-openstack
172.29.1.246	
172.29.1.247	
172.29.1.248	
172.29.1.249	
172.29.1.250	net (резерв)
172.29.1.251	net (резерв)
172.29.1.252	net (резерв)
172.29.1.253	net (резерв)
172.29.1.254	net (резерв)
